alignment	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	best_phenotype	complexity	gen	generalization	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	regens	runtime_error	simplicity	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.7089738598770777	0.019888296343358983	298.916	8.5	301.212	199.448	0.7664145563898141	and({a})opt({c})lo3({b}){c}and({e})	0.9265686222642691	0	0.6254985283711526	0	1669	13	1693	1113	10	4	12	7	0.9433538609750607	0	0	0.8	0	54.83975577354431	500	54.83975577354431	444	11.200000000000003	
0.7089738598770777	0.17752441554022036	113.952	9.058	125.826	81.948	0.8026464443279966	and({a})lo3({b}){c}and({e})	0.9463831101690973	1	0.7818731604639408	0	499	20	635	427	13	4	12	7	0.9681309555939507	0	0	0.8888888888888888	0	2.5985100269317627	1000	57.438265800476074	802	19.799999999999997	
0.7181498893711882	0.3839784382624532	96.198	9.268	105.352	67.352	0.8068637479707229	and({a})opt({d})lo3({b}){c}and({e})	0.928928090773022	2	0.7100284745332275	0	489	20	724	467	17	4	12	7	0.9433538609750607	0	0	1.0	0	2.0187394618988037	1500	59.45700526237488	1134	24.400000000000006	
0.9358287647048309	0.4472631381824861	106.804	9.764	106.162	68.1	0.8968628700613571	and({a})opt({c})lo3({b})opt(opt({e}{d}))and({e})	0.9517333424234521	3	0.6477821501761318	0	499	20	694	447	18	4	12	7	0.9229814999814234	0	0	0.9090909090909091	0	1.765428066253662	2000	61.22243332862854	1439	28.049999999999997	
0.9528941137937391	0.4750020332153214	89.726	9.446	100.384	64.264	0.9427165257252355	and({a})opt({c})lo3({b})lo3({d})and({e})	0.9834624739640859	4	0.7773385802113583	0	488	20	713	466	41	5	16	10	0.9693546964518022	0	0	1.0	0	1.622014045715332	2500	62.84444737434387	1740	30.400000000000006	
1.0	0.5509284154238768	92.588	10.048	110.338	70.378	0.9721787610098607	and({a})lo2({d})opt({b}and({c}))and({e})	1	5	0.7939972710797125	0	497	20	730	475	21	5	14	9	0.9834328169994924	0	0	1.0	0	1.7811081409454346	3000	64.6255555152893	2050	31.66666666666667	
1.0	0.5889471568938662	97.288	10.79	117.82	74.822	0.9721787610098607	and({a})lo2({d})opt({b}and({c}))and({e})	1	6	0.7939972710797125	0	498	20	730	476	32	5	16	10	0.9834328169994924	0	0	1.0	0	1.88197660446167	3500	66.50753211975098	2369	32.31428571428572	
1.0	0.6541073968965286	90.572	9.904	108.192	68.652	0.9721787610098657	and({a})lo2({d})opt({b}{c})and({e})	1	7	0.7939972710797125	0	439	20	642	417	36	6	24	14	0.9834328169994924	0	0	1.0	0	1.90958833694458	4000	68.41712045669556	2668	33.3	
1.0	0.6613639465901522	90.92	10.108	107.136	67.924	0.9721787610098657	and({a})lo2({d})opt({b}{c})and({e})	1	8	0.7939972710797125	0	434	20	625	412	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.849247932434082	4500	70.26636838912964	2937	34.733333333333334	
1.0	0.6538406907157442	94.608	10.718	112.266	71.234	0.9721787610098707	and({a})lo2({d})opt({b}{c}){e}	1	9	0.7939972710797125	0	492	20	714	470	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.6051626205444336	5000	71.87153100967407	3174	36.519999999999996	
1.0	0.6504563549466436	85.106	9.786	98.062	62.422	0.9721787610098707	and({a})lo2({d})opt({b}{c}){e}	1	10	0.7939972710797125	0	494	20	728	472	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.5867810249328613	5500	73.45831203460693	3412	37.96363636363637	
1.0	0.6473421413302777	84.208	9.84	97.094	62.136	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	11	0.7939972710797125	0	470	20	684	448	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.7147505283355713	6000	75.1730625629425	3636	39.4	
1.0	0.6115863811774976	82.476	10.088	93.632	60.476	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	12	0.7939972710797125	0	466	20	685	444	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.426201343536377	6500	76.59926390647888	3872	40.43076923076923	
1.0	0.5689649627720919	83.292	10.18	94.538	61.292	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	13	0.7939972710797125	0	495	20	736	473	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.5339992046356201	7000	78.1332631111145	4114	41.22857142857143	
1.0	0.5934981585983412	75.874	9.706	82.91	53.874	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	14	0.7939972710797125	0	364	20	519	342	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.4904162883758545	7500	79.62367939949036	4330	42.266666666666666	
1.0	0.6159104915051846	70.698	9.718	74.67	48.698	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	15	0.7939972710797125	0	452	20	661	430	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.1676194667816162	8000	80.79129886627197	4528	43.400000000000006	
1.0	0.5988693262452144	72.966	9.76	77.814	50.966	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	16	0.7939972710797125	0	454	20	653	432	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.454632043838501	8500	82.24593091011047	4711	44.576470588235296	
1.0	0.588583252872006	75.556	9.73	81.854	53.556	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	17	0.7939972710797125	0	480	20	684	458	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.311025619506836	9000	83.55695652961731	4896	45.599999999999994	
1.0	0.5779375098362758	75.706	10.14	81.942	53.706	0.9721787610098757	{a}lo2({d})opt({b}{c}){e}	1	18	0.7939972710797125	0	415	20	604	393	29	4	12	7	0.9834328169994924	0	0	1.0	0	1.537663459777832	9500	85.09461998939514	5091	46.41052631578947	
