# alignment_mean,alignment_std,ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,complexity_mean,complexity_std,generalization_mean,generalization_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,precision_mean,precision_std,regens_mean,regens_std,runtime_error_mean,runtime_error_std,simplicity_mean,simplicity_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.274757953561074464e-01,9.229638408951502948e-02,5.116484083079051587e-03,1.210620033872381171e-03,2.954110000000000014e+02,6.732376474915814590e+00,8.500000000000000000e+00,0.000000000000000000e+00,2.980054999999999836e+02,6.793381834550456411e+00,1.971034999999999968e+02,4.482468823092904842e+00,4.894920415420627724e-01,8.139591171570602357e-02,7.041721354995589266e-01,8.914372946477071291e-02,5.422355538148270204e-01,1.588441692925966209e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.659750000000000000e+03,7.235459556932096348e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.677750000000000000e+03,6.225501987791827929e+01,1.106750000000000000e+03,4.809560790758341398e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.743055555555555802e-01,7.373875201942810265e-02,6.762951880693435669e+01,6.966620520643560077e+00,6.762951880693435669e+01,6.966620520643560077e+00,4.475000000000000000e+02,2.500000000000000000e+00,1.049999999999999645e+01,5.000000000000027756e-01
6.251121477752945577e-01,6.226039092594293223e-02,2.696820410414027883e-02,3.137421007573790166e-03,1.359095000000000084e+02,8.785214325786249390e+00,9.549000000000001265e+00,3.017366401350686789e-01,1.484729999999999848e+02,9.329081466039408355e+00,9.740850000000000364e+01,6.151314229496004593e+00,5.680048971385804890e-01,3.496576490693022871e-02,7.699291671818807581e-01,8.949155613499247541e-02,6.377588914835964351e-01,2.116372480121034572e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.935000000000000000e+02,5.590169943749474513e+00,2.000000000000000000e+01,0.000000000000000000e+00,7.200000000000000000e+02,2.474873734152916427e+01,4.730000000000000000e+02,1.214495780149111859e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.378267973856209361e-01,4.054008502912776618e-02,1.017681986093521118e+01,4.484076906308926525e+00,7.780633866786956787e+01,1.142594323507474208e+01,8.407500000000000000e+02,4.815340071064555971e+00,1.592500000000000426e+01,4.815340071064531102e-01
7.087789116049119098e-01,1.871804622168822194e-02,8.159050014059168743e-02,8.317458464737513893e-03,1.027455000000000069e+02,9.248020261115343033e+00,9.951999999999999957e+00,4.161129654312642479e-01,1.162379999999999995e+02,1.072608437408544901e+01,7.598949999999999250e+01,6.905263843619586339e+00,6.118994689530043996e-01,2.206896575348512440e-02,8.963171105860534560e-01,2.644885629083525841e-02,6.541038388662036018e-01,1.467312349863836018e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.932500000000000000e+02,7.854139036202504087e+00,2.025000000000000000e+01,4.330127018922192983e-01,7.345000000000000000e+02,1.651514456491374361e+01,4.805000000000000000e+02,9.759610647971568298e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.940767973856208695e-01,6.428865191782093258e-02,1.072594255208969116e+01,7.017205668483865288e+00,8.853228121995925903e+01,1.839547434201422860e+01,1.241750000000000000e+03,2.384848003542364037e+00,1.721666666666666856e+01,1.589898669028241840e-01
7.568908762198955920e-01,4.161992732518891847e-02,1.849877845202985149e-01,2.321082999573166258e-02,1.085169999999999959e+02,1.106179745791795099e+01,1.072400000000000020e+01,7.438212150779250909e-01,1.203155000000000001e+02,1.423187298812071511e+01,7.845499999999998408e+01,8.909772668255905970e+00,6.646104855460530647e-01,2.394930594755729017e-02,8.654539878202389680e-01,6.637139041463099853e-02,7.556330965575797087e-01,8.709978326792008896e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.620000000000000000e+02,2.874891302293010042e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.625000000000000000e+02,4.864925487610267396e+01,4.380000000000000000e+02,2.782085548648711182e+01,1.600000000000000000e+01,1.414213562373095145e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.690767973856208251e-01,8.304523561028412382e-02,2.309967708587646484e+01,1.762635707035001431e+01,1.116319583058357239e+02,3.599067431333789813e+01,1.652750000000000000e+03,1.042532973099652160e+01,1.736250000000000071e+01,5.212664865498265465e-01
7.653035811607051819e-01,3.716965374507109204e-02,2.600005366202035040e-01,1.189812887217601804e-02,1.172095000000000056e+02,9.706559058183280797e+00,1.150649999999999906e+01,5.218091126072826880e-01,1.304180000000000064e+02,1.197507987447265343e+01,8.494549999999999557e+01,7.453118458068407115e+00,6.812559200241088408e-01,2.447573910377796869e-02,8.878408146240266419e-01,4.957086824246026424e-02,8.034104488595807947e-01,5.481311471730722362e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.555000000000000000e+02,1.918984106239548737e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.472500000000000000e+02,2.257625965477895491e+01,4.220000000000000000e+02,1.534600925322280673e+01,2.575000000000000000e+01,7.327175444876422361e+00,4.750000000000000000e+00,8.291561975888499525e-01,1.550000000000000000e+01,4.974937185533099715e+00,9.250000000000000000e+00,2.861380785564899387e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.041666666666665630e-01,2.916666666666661856e-02,2.923113554716110229e+01,9.898939816942910142e+00,1.408630938529968262e+02,4.585127765000940769e+01,2.062750000000000000e+03,1.889940475253122898e+01,1.748999999999999844e+01,7.559761901012499452e-01
8.127219553679534414e-01,2.061627319010891218e-02,2.950839843929159989e-01,1.256282727753126049e-02,1.148155000000000143e+02,9.489105371424649604e+00,1.162999999999999901e+01,1.534192295639630776e+00,1.288100000000000023e+02,1.033180952205372805e+01,8.381550000000001432e+01,6.007624218441096176e+00,7.091583343576485232e-01,2.690485664422161832e-02,8.238736871662927230e-01,8.762983490159746702e-02,8.333594079209573069e-01,8.269446751178413657e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.595000000000000000e+02,2.102974084481309092e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.680000000000000000e+02,2.936835031117682604e+01,4.355000000000000000e+02,2.281994741448805186e+01,2.650000000000000000e+01,7.826237921249264318e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.798611111111109828e-01,6.356727625996810849e-02,3.289973425865173340e+01,2.763121997311762890e+00,1.737628281116485596e+02,4.806621497677323873e+01,2.470000000000000000e+03,3.010813843464919515e+01,1.766666666666667140e+01,1.003604614488309732e+00
8.065738873407394260e-01,5.500372424079745526e-02,3.281111490352499604e-01,3.997697367045842387e-02,1.111920000000000073e+02,1.536644428617108638e+01,1.184249999999999936e+01,2.647001086135024828e+00,1.284604999999999961e+02,2.216242899029797542e+01,8.311150000000000659e+01,1.307094307041384873e+01,7.879662196061699708e-01,5.955818149536085127e-02,8.585936508248619425e-01,8.050197252781847446e-02,7.699369918803925517e-01,1.364513185748032209e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.772500000000000000e+02,1.535211711784404010e+01,2.025000000000000000e+01,4.330127018922192983e-01,7.027500000000000000e+02,4.079445427996310514e+01,4.547500000000000000e+02,2.202697210240209102e+01,2.825000000000000000e+01,9.908960591303207721e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,6.346991246551735300e-01,3.706628999318755113e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.848318713450291639e-01,3.275316758603739192e-02,3.662839603424072266e+01,3.294049173829555865e+00,2.103912241458892822e+02,4.846183031407635866e+01,2.865750000000000000e+03,4.778271130858942684e+01,1.812142857142857011e+01,1.365220323102550815e+00
8.294713950910472811e-01,5.637333223894625683e-02,3.328672045423420878e-01,3.813469774322848088e-02,1.130045000000000073e+02,1.376254252491158958e+01,1.200900000000000034e+01,1.977343925572888184e+00,1.339889999999999759e+02,1.866298821196649271e+01,8.666300000000001091e+01,1.086640819222248489e+01,8.096528207246678210e-01,7.398569772064648997e-02,8.660590302704617161e-01,4.717730476754805613e-02,7.637269691586699993e-01,1.141623974501657229e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.555000000000000000e+02,4.143368195079940364e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.730000000000000000e+02,6.079884867330959253e+01,4.387500000000000000e+02,3.902803479551590016e+01,3.100000000000000000e+01,1.017349497468790176e+01,4.750000000000000000e+00,8.291561975888499525e-01,1.650000000000000000e+01,4.974937185533099715e+00,1.000000000000000000e+01,3.082207001484488007e+00,6.596908556808743773e-01,3.824044452713809550e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.262663398692809746e-01,4.920435976545405043e-02,3.454052931070327759e+01,4.853416900537919076e+00,2.449317534565925598e+02,4.802693263596763984e+01,3.258000000000000000e+03,5.955249784853696582e+01,1.855000000000000071e+01,1.488812446213423568e+00
8.304006758481482509e-01,5.424505152360892951e-02,3.402431109334191905e-01,3.896810259474936533e-02,1.144105000000000132e+02,1.315556941945122205e+01,1.188649999999999807e+01,1.722867595028705789e+00,1.338539999999999850e+02,1.816927632020603056e+01,8.644149999999999068e+01,1.072350347367873624e+01,8.197418706389094645e-01,6.831611446526754394e-02,8.774122866340778870e-01,5.433934952203772761e-02,8.285089704788276554e-01,9.419684941710204651e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.665000000000000000e+02,1.616322987524461396e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.797500000000000000e+02,2.590728661979096614e+01,4.437500000000000000e+02,1.357156954813996386e+01,2.450000000000000000e+01,9.759610647971568298e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,6.491925317123636852e-01,3.780201719447474074e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.388888888888887729e-01,3.967460238079363599e-02,2.881489616632461548e+01,2.878613676488788631e+00,2.737466496229171753e+02,5.024202594354379414e+01,3.640750000000000000e+03,6.684076226375638896e+01,1.909444444444444500e+01,1.485350272527919291e+00
8.932980298306349987e-01,4.235293109112885784e-02,3.476071674129716516e-01,2.085454803319222727e-02,1.135644999999999953e+02,1.070053974105979400e+01,1.176149999999999984e+01,1.510122097712631728e+00,1.320925000000000011e+02,1.261032151651970779e+01,8.525149999999999295e+01,7.273061580242534241e+00,8.494725039677173406e-01,6.442677280777474313e-02,9.178484187753969126e-01,2.021393380751018709e-02,8.592695739467005600e-01,5.818723819728492674e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.730000000000000000e+02,1.500000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.937500000000000000e+02,2.542021833108441342e+01,4.505000000000000000e+02,1.533786165017796677e+01,2.775000000000000000e+01,1.661888985462025303e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,6.336579260084282961e-01,3.669201448848450897e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.801879084967320077e-01,3.917027855195508862e-02,3.593168747425079346e+01,9.677052011135565124e+00,3.096783370971679688e+02,5.964646266849997147e+01,4.031500000000000000e+03,7.857957749950047344e+01,1.937000000000000099e+01,1.571591549990006831e+00
