alignment	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	best_phenotype	complexity	gen	generalization	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	regens	runtime_error	simplicity	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.4600346693194787	0.00449135724406046	306.95	8.5	309.672	204.786	0.38317862203289393	opt({c}{g})xor({b}{a}{h}{d}){g}{a}and({d})lo3({c})seq({g})lo1({e}{b})	0.6228037811571583	0	0.5586236323191218	0	1642	13	1663	1095	10	4	12	7	0	0	0	0.6666666666666667	0	75.09575629234314	500	75.09575629234314	444	11.200000000000003	
0.6601167215492771	0.023662633108352565	139.96	9.362	149.65	98.09	0.4898805544630149	opt({c}{g})xor({b}{a}{h}{d}){g}{a}and({d})lo3({c})seq({g})lo2({e}{b})	0.7289112140144173	1	0.6119108828408957	0	484	20	685	455	10	4	12	7	0	0	0	0.6666666666666667	0	14.548017263412476	1000	89.64377355575562	839	16.10000000000001	
0.7302521056741461	0.08233717009151457	112.56	10.392	128.722	83.984	0.5360505746141119	opt({c}{g})xor({b}{a}{h}{f}){g}{a}and({d})lo3({c})seq({e})lo2({e}{b})	0.7724300549070978	2	0.6054914123120998	0	482	21	662	436	10	4	12	7	0	0	0	0.7619047619047619	0	24.321481943130493	1500	113.96525549888611	1238	17.46666666666667	
0.7316008537641346	0.17552749360849956	122.364	11.19	137.82	89.592	0.5783159653091502	lo3({c}{e})and({f})and({d}{h}{a})opt({a})seq({g})	0.8549235304771519	3	0.8251243074170541	0	446	21	664	425	16	4	12	7	0	0	0	0.875	0	52.12556719779968	2000	166.0908226966858	1645	17.75	
0.7316008537641346	0.26272769664987783	132.81	11.732	151.324	98.726	0.5783159653091502	lo3({c}{e})and({f})and({d}{h}{a})opt({a})seq({g})	0.8549235304771519	4	0.8251243074170541	0	496	21	700	455	31	4	12	7	0	0	0	0.875	0	67.74619269371033	2500	233.83701539039612	2056	17.75999999999999	
0.7645737030533516	0.29167230555706536	136.164	11.322	151.046	98.834	0.5822025008036735	opt({c}{a})xor({b}{a}{h}{d}){c}and({d})lo3({c})seq({g})lo3({e}{g})	0.7954200567029288	5	0.8624830889533516	0	487	20	688	446	35	5	14	9	0	0	0	0.736842105263158	0	60.383260011672974	3000	294.2202754020691	2463	17.900000000000006	
0.8250346215313115	0.3159490663612907	130.082	10.786	140.022	91.556	0.8055130934280026	opt({a})xor({b}{a}{h}{d})lo1({g})lo3({c}{e}){b}seq({e}{h})	0.8889117019148385	6	0.6920965523988056	0	472	20	667	431	46	4	12	7	0.8575138018186377	0	0	0.736842105263158	0	53.41693067550659	3500	347.6372060775757	2881	17.685714285714283	
0.8055526009781606	0.3200558611238726	128.344	10.75	138.642	90.53	0.8215577693918342	opt({a})xor({b}{a}{h}{d}){c}lo3({c})lo3({d})lo2({e}{g})	0.8388940431732913	7	0.863951935986566	0	475	20	652	434	37	4	12	7	0.8313852017355999	0	0	0.8235294117647058	0	48.4540753364563	4000	396.091281414032	3287	17.825000000000003	
0.8687380394818972	0.32265140941853343	120.35	10.448	130.496	85.496	0.8269737412335774	xor({b}{a}{e}{f}){d}lo3({c})seq({e})lo3({e}{b}){h}	0.9372983561979181	8	0.6530840474869555	0	446	20	628	405	27	4	12	7	0.8549879733383485	0	0	0.7777777777777778	0	39.316059827804565	4500	435.40734124183655	3687	18.066666666666663	
0.8693059346022168	0.3588307240770905	118.732	10.63	130.284	85.628	0.8414987442180168	xor({b}{a}{e}{f}){d}lo3({c})seq({e})lo3({f}{g}){h}	0.9375582400165776	9	0.6559013797700812	0	499	20	699	458	27	4	12	7	0.8549879733383485	0	0	0.8888888888888888	0	52.644026041030884	5000	488.05136728286743	4100	18.0	
0.8265093001387209	0.37978509010402783	123.048	11.206	136.384	89.79	0.8423226049859257	opt({c}{f})xor({b}{a}and(xor({d}))){c}lo3({c})lo0({d})seq({e}{g})	0.8573868792069864	10	0.8332062240831345	0	473	20	673	446	36	4	12	7	0.8879040017426006	0	0	0.8235294117647058	0	59.644731283187866	5500	547.6960985660553	4510	18.0	
0.9412909165182861	0.3989559977272337	120.766	11.004	134.398	88.46	0.8552003977535308	opt({c}{a})xor({d}{a}{h}{f})lo3({e}{b})lo3({e})seq({e})xor({h}{g})	0.9167417683701327	11	0.69790681133	0	417	20	574	376	34	4	12	7	0.7892663523128147	0	0	0.8	0	51.49207258224487	6000	599.1881711483002	4931	17.816666666666663	
0.9412909165182861	0.4175895796829217	121.81	11.09	135.078	88.664	0.8552003977535308	opt({c}{a})xor({d}{a}{h}{f})lo3({e}{b})lo3({e})seq({e})xor({h}{g})	0.9167417683701327	12	0.69790681133	0	496	20	695	455	48	4	12	7	0.7892663523128147	0	0	0.8	0	50.149101972579956	6500	649.3372731208801	5354	17.630769230769232	
0.8567712139112925	0.38476241771564373	118.61	10.91	129.272	84.722	0.8655004318038745	xor({b}{a}{g}{f}){d}lo3({c})seq({e}){h}	0.9503477715608971	13	0.7140915183730165	0	466	20	642	425	34	4	12	7	0.8914135402065605	0	0	1.0	0	39.02941370010376	7000	688.3666868209839	5766	17.628571428571433	
0.9441123597688275	0.4403071462197443	119.032	11.262	135.132	88.35	0.8761429510159764	opt({c}{a})xor({d}{a}{h}{f})lo3({e}{b})lo3({d})seq({e})xor({h}{g})	0.9203555673765561	14	0.8541614644274002	0	433	20	635	413	27	4	12	7	0.7892663523128147	0	0	0.8	0	61.56332802772522	7500	749.9300148487091	6167	17.773333333333326	
0.9454618658960421	0.41607998304795113	116.692	11.308	136.194	88.782	0.8835457837404932	opt({c}{a})xor({d}{a}{h}{f})lo3({d}{b})lo3({e})seq({e})xor({h}{g})	0.9220963404584762	15	0.8574536815334893	0	450	20	654	423	33	4	12	7	0.8145325624034077	0	0	0.8	0	51.402676582336426	8000	801.3326914310455	6571	17.862499999999997	
0.9125640223793845	0.43045423183029513	128.318	11.734	153.496	99.834	0.8871887703204399	opt({c}{a})xor({c})lo3({e}{b})lo3({d})seq({e})xor({h}{g})	0.9353446556103995	16	0.9265102047285676	0	493	20	717	466	60	7	31	20	0.8486072282765815	0	0	0.8235294117647058	0	77.8477132320404	8500	879.1804046630859	6975	17.941176470588232	
0.9314641518091067	0.43876194155573883	125.326	11.556	150.152	97.738	0.8981177318880916	opt({c}{a})lo3({e}{b})lo3({d})seq({e})xor({h}{g})	0.948616907570274	17	0.9482060214235981	0	470	20	683	443	34	4	12	7	0.8179396132225503	0	0	0.875	0	59.33003234863281	9000	938.5104370117188	7369	18.12222222222222	
0.9661930911880307	0.41111079340962403	121.858	11.456	145.242	94.508	0.9031647728241184	opt({c}{a})xor({d}{a}{h}{f})opt({b})lo3({d})seq({e})xor({h}{g})	0.9498901559426295	18	0.8540326709537799	0	479	20	679	438	34	4	12	7	0.832203941864827	0	0	0.8421052631578947	0	103.67992615699768	9500	1042.1903631687164	7801	17.884210526315798	
0.935772169550129	0.45309920167879475	121.814	11.798	146.5	95.052	0.9163371342908704	opt({c}{a})lo3({e}{b})seq({d})seq({e})xor({h}{g})	0.9651114853384071	19	0.9533977001588136	0	390	20	561	363	37	7	28	17	0.8796053479840128	0	0	0.875	0	60.583545446395874	10000	1102.7739086151123	8204	17.959999999999994	
0.9661930911880307	0.47993421395989244	127.088	11.964	154.422	99.99	0.9264677977164275	opt({c}{a})xor({d}{a}{f})opt({b})opt({d})seq({e})xor({h}{g})	0.956169129970519	20	0.9395047458760704	0	451	20	653	424	34	4	12	7	0.8592881911074085	0	0	0.8888888888888888	0	49.656895875930786	10500	1152.430804491043	8602	18.076190476190476	
0.9581992144405079	0.45879576820641144	126.274	11.872	153.204	98.882	0.9282889522581458	opt({c}{a})xor({d})lo3({e}{b})lo3({c})and({e})xor({h}{g})	0.9680243287406016	21	0.9515604652097831	0	497	20	741	477	34	4	12	7	0.9092124416645508	0	0	0.8235294117647058	0	55.82462286949158	11000	1208.2554273605347	8989	18.28181818181818	
0.9588352646374441	0.46962671084695723	118.682	10.924	138.886	89.624	0.9367858330736134	opt({c}{a}){d}lo3({c})lo4({b})seq({e})xor({h}{g})	0.9684955309210199	22	0.9593615732495465	0	491	20	709	471	29	4	12	7	0.9122920163949878	0	0	0.875	0	41.72633194923401	11500	1249.9817593097687	9364	18.573913043478257	
0.9588352646374441	0.47804038972875496	124.602	10.908	145.932	94.144	0.9367858330736134	opt({c}{a}){d}lo3({c})lo4({b})seq({e})xor({h}{g})	0.9684955309210199	23	0.9593615732495465	0	493	20	701	452	34	4	12	7	0.9122920163949878	0	0	0.875	0	35.60096192359924	12000	1285.582721233368	9744	18.799999999999997	
0.9526914986627433	0.4565909749658191	120.24	10.728	137.008	88.144	0.9424157515449854	opt({c}{a})opt({b})and({d})seq({e})xor({h}{g})	0.9741123013872016	24	0.9644034387754689	0	465	20	656	424	48	4	12	7	0.9154116228002374	0	0	0.9333333333333333	0	35.81965923309326	12500	1321.4023804664612	10123	19.016000000000005	
0.9526914986627433	0.49496247533854626	118.752	10.34	131.404	84.36	0.9424157515449854	opt({c}{a})opt({b})and({d})seq({e})xor({h}{g})	0.9741123013872016	25	0.9644034387754689	0	449	20	630	408	27	4	12	7	0.9154116228002374	0	0	0.9333333333333333	0	32.85161113739014	13000	1354.2539916038513	10500	19.230769230769226	
0.9526914986627433	0.42722259465439005	119.784	10.598	131.452	84.398	0.9424157515449854	opt({c}{a})opt({b})and({d})seq({e})xor({h}{g})	0.9741123013872016	26	0.9644034387754689	0	432	20	618	391	34	4	12	7	0.9154116228002374	0	0	0.9333333333333333	0	29.414923191070557	13500	1383.6689147949219	10893	19.311111111111117	
0.9526914986627433	0.4589419908410532	117.044	10.124	127.614	81.84	0.9424157515449854	opt({c}{a})opt({b})and({d})seq({e})xor({h}{g})	0.9741123013872016	27	0.9644034387754689	0	437	20	615	396	55	6	24	14	0.9154116228002374	0	0	0.9333333333333333	0	15.982057571411133	14000	1399.650972366333	11256	19.599999999999994	
0.9526914986627433	0.40594974462981676	118.56	10.702	130.254	83.216	0.9424157515449854	opt({c}{a})opt({b})and({d})seq({e})xor({h}{g})	0.9741123013872016	28	0.9644034387754689	0	424	20	621	397	34	4	12	7	0.9154116228002374	0	0	0.9333333333333333	0	21.526164531707764	14500	1421.1771368980408	11612	19.91724137931034	
0.9526914986627433	0.3747750367600355	116.532	10.432	126.184	80.516	0.9424157515449854	opt({c}{a})opt({b})and({d})seq({e})xor({h}{g})	0.9741123013872016	29	0.9644034387754689	0	487	20	690	446	34	4	12	7	0.9154116228002374	0	0	0.9333333333333333	0	15.80678415298462	15000	1436.9839210510254	11934	20.439999999999998	
0.9526914986627433	0.38497451546535805	118.182	10.658	129.292	82.334	0.9435673144765655	opt({c}{a})opt({b})and({d})seq({e})xor({f}{h}{g})	0.9685658838473958	30	0.952259464307695	0	473	20	676	446	34	4	12	7	0.8927565284271236	0	0	1.0	0	20.3071608543396	15500	1457.291081905365	12235	21.064516129032256	
0.9526914986627433	0.3452356854338931	120.13	10.558	130.226	83.022	0.9435673144765655	opt({c}{a})opt({b})and({d})seq({e})xor({f}{h}{g})	0.9685658838473958	31	0.952259464307695	0	491	20	699	450	48	4	12	7	0.8927565284271236	0	0	1.0	0	21.714258909225464	16000	1479.0053408145905	12543	21.606250000000003	
0.9526914986627433	0.3790812259037202	117.38	10.472	126.442	80.552	0.9435673144765655	opt({c}{a})opt({b})and({d})seq({e})xor({f}{h}{g})	0.9685658838473958	32	0.952259464307695	0	475	20	686	443	34	4	12	7	0.8927565284271236	0	0	1.0	0	16.97496795654297	16500	1495.9803087711334	12837	22.200000000000003	
0.9526914986627433	0.36043029124934334	113.392	10.264	118.27	75.416	0.9435673144765655	opt({c}{a})opt({b})and({d})seq({e})xor({f}{h}{g})	0.9685658838473958	33	0.952259464307695	0	487	20	674	446	48	4	12	7	0.8927565284271236	0	0	1.0	0	22.58437991142273	17000	1518.5646886825562	13162	22.576470588235296	
0.9526914986627433	0.399887735891233	115.402	10.382	121.592	77.65	0.9435673144765705	opt({c}{a})opt({b}){d}seq({e})xor({f}{h}{g})	0.9685658838473958	34	0.952259464307695	0	463	20	649	422	48	4	12	7	0.8927565284271236	0	0	1.0	0	23.991050481796265	17500	1542.5557391643524	13485	22.942857142857136	
0.9526914986627433	0.41732276670002955	120.426	10.714	128.276	82.058	0.9435673144765705	opt({c}{a})opt({b}){d}seq({e})xor({f}{h}{g})	0.9685658838473958	35	0.952259464307695	0	500	20	695	459	34	4	12	7	0.8927565284271236	0	0	1.0	0	23.842199325561523	18000	1566.397938489914	13823	23.205555555555563	
0.9526914986627433	0.4707576914796695	123.048	10.602	132.188	84.792	0.9435673144765705	opt({c}{a})opt({b}){d}seq({e})xor({f}{h}{g})	0.9685658838473958	36	0.952259464307695	0	494	20	710	467	48	4	12	7	0.8927565284271236	0	0	1.0	0	20.729475736618042	18500	1587.127414226532	14145	23.540540540540547	
0.9526914986627433	0.45749923553788435	117.112	10.422	122.312	78.352	0.9435673144765705	opt({c}{a})opt({b}){d}seq({e})xor({f}{h}{g})	0.9685658838473958	37	0.952259464307695	0	469	20	674	428	48	4	12	7	0.8927565284271236	0	0	1.0	0	23.712527990341187	19000	1610.8399422168732	14477	23.805263157894743	
0.9526914986627433	0.511262696907548	118.66	10.27	123.886	79.564	0.9435673144765705	opt({c}{a})opt({b}){d}seq({e})xor({f}{h}{g})	0.9685658838473958	38	0.952259464307695	0	497	20	703	456	34	4	12	7	0.8927565284271236	0	0	1.0	0	29.87589979171753	19500	1640.7158420085907	14790	24.15384615384616	
0.9526914986627433	0.48432297894820536	118.444	10.716	122.494	78.816	0.9435673144765705	opt({c}{a})opt({b}){d}seq({e})xor({f}{h}{g})	0.9685658838473958	39	0.952259464307695	0	447	20	626	406	48	4	12	7	0.8927565284271236	0	0	1.0	0	37.67998170852661	20000	1678.3958237171173	15108	24.460000000000008	
0.9504763466287631	0.4643065695722612	115.884	10.558	117.968	75.864	0.9451168734531681	opt({b}{a})opt({c}){d}and({e})xor({f}{h}{g})	0.9671387464276009	40	0.9558214974401906	0	494	20	702	453	48	4	12	7	0.9016040518352268	0	0	1.0	0	33.79758977890015	20500	1712.1934134960175	15414	24.809756097560978	
0.9504763466287631	0.481508195500514	117.738	10.606	120.34	77.55	0.9451168734531681	opt({b}{a})opt({c}){d}and({e})xor({f}{h}{g})	0.9671387464276009	41	0.9558214974401906	0	478	20	667	437	48	4	12	7	0.9016040518352268	0	0	1.0	0	36.35412073135376	21000	1748.5475342273712	15740	25.04761904761905	
0.9601319019021758	0.5026175247225558	113.854	10.242	114.554	74.002	0.9482409224424164	opt({c}{a}and(xor({f})))opt({b}){d}and({e})xor({h}{g})	0.9618244892741811	42	0.9582197969277045	0	479	20	673	438	34	4	12	7	0.8935899875016776	0	0	1.0	0	26.192784070968628	21500	1774.7403182983398	16044	25.37674418604651	
0.9601319019021758	0.4498487271069735	121.818	10.904	126.072	81.49	0.9482409224424164	opt({c}{a}and(xor({f})))opt({b}){d}and({e})xor({h}{g})	0.9618244892741811	43	0.9582197969277045	0	490	20	677	449	50	5	14	9	0.8935899875016776	0	0	1.0	0	27.69954013824463	22000	1802.4398584365845	16363	25.622727272727275	
0.9601319019021758	0.4968385730827761	118.51	10.624	120.766	77.958	0.9482409224424164	opt({c}{a}and(xor({f})))opt({b}){d}and({e})xor({h}{g})	0.9618244892741811	44	0.9582197969277045	0	434	20	603	393	48	4	12	7	0.8935899875016776	0	0	1.0	0	25.6970534324646	22500	1828.136911869049	16661	25.951111111111118	
