# alignment_mean,alignment_std,ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,complexity_mean,complexity_std,generalization_mean,generalization_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,precision_mean,precision_std,regens_mean,regens_std,runtime_error_mean,runtime_error_std,simplicity_mean,simplicity_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std,metrics_average_mean,metrics_average_std
5.440687526358294335e-01,8.376272623458337618e-02,5.076137382722702152e-03,1.135339171020909640e-03,2.954110000000000014e+02,6.732376474915814590e+00,8.500000000000000000e+00,0.000000000000000000e+00,2.980054999999999836e+02,6.793381834550455523e+00,1.971034999999999968e+02,4.482468823092903953e+00,4.693186913638880409e-01,6.585073900033078242e-02,7.055504563099865845e-01,1.049908383842915599e-01,5.677371998666114195e-01,1.765976037008368804e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.659750000000000000e+03,7.235459556932096348e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.677750000000000000e+03,6.225501987791827929e+01,1.106750000000000000e+03,4.809560790758341398e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.743055555555555802e-01,7.373875201942810265e-02,6.565562045574188232e+01,6.909863012025506457e+00,6.565562045574188232e+01,6.909863012025506457e+00,4.475000000000000000e+02,2.500000000000000000e+00,1.049999999999999645e+01,5.000000000000027756e-01,4.397897207456855639e-01,6.729041671556991455e-02
6.541234081917520760e-01,8.963308298623319514e-02,2.647619518205100719e-02,2.930592579694457894e-03,1.359095000000000084e+02,8.785214325786247613e+00,9.548999999999999488e+00,3.017366401350687344e-01,1.484729999999999848e+02,9.329081466039406578e+00,9.740850000000000364e+01,6.151314229496004593e+00,5.514281947944228435e-01,4.872287032770333121e-02,8.398827755067137524e-01,8.424962564963001110e-02,6.426293056608569643e-01,1.374217661907159438e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.935000000000000000e+02,5.590169943749474513e+00,2.000000000000000000e+01,0.000000000000000000e+00,7.200000000000000000e+02,2.474873734152916427e+01,4.730000000000000000e+02,1.214495780149111859e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.638480392156862031e-01,4.528729338073948091e-02,1.145645481348037720e+01,3.233460502852392171e+00,7.711207526922225952e+01,1.011933343103201288e+01,8.407500000000000000e+02,4.815340071064555971e+00,1.592500000000000426e+01,4.815340071064531102e-01,5.153713722054439339e-01,4.891590175409533253e-02
6.787407528222729747e-01,4.654019097323686821e-02,7.642572126957633549e-02,3.946984430237754880e-03,1.021555000000000035e+02,1.286669548679846109e+01,9.985500000000000043e+00,4.081871507041832658e-01,1.161409999999999911e+02,1.511705464037224367e+01,7.595100000000000762e+01,9.736693535281888856e+00,5.735245145164071801e-01,1.800141398241815460e-02,8.854349609983273028e-01,4.501051804755377278e-02,6.974746191450069688e-01,1.336841312669417026e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.837500000000000000e+02,1.569036328451320550e+01,2.025000000000000000e+01,4.330127018922192983e-01,7.197500000000000000e+02,1.899177453530869997e+01,4.712500000000000000e+02,1.670890481150694740e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.638480392156862031e-01,4.528729338073948091e-02,1.234250944852828979e+01,5.933447557430631569e+00,8.945458471775054932e+01,1.602527571320296218e+01,1.242750000000000000e+03,6.417748826496717740e+00,1.715000000000000568e+01,4.278499217664510357e-01,5.345357087062231338e-01,1.711237330212537697e-02
7.254484949394748305e-01,2.680230677398913464e-02,1.658814067559841454e-01,1.303584620581459477e-02,1.077400000000000091e+02,1.161927390158265716e+01,1.079250000000000043e+01,4.511948027182942078e-01,1.204439999999999884e+02,1.527661002971535353e+01,7.860249999999999204e+01,9.402639031144390813e+00,6.062459535997276605e-01,4.811361371329126412e-03,8.678526683984095769e-01,5.674321884684100509e-02,8.098512479671595710e-01,1.217920204376857218e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.765000000000000000e+02,3.015377256662920402e+01,2.075000000000000000e+01,4.330127018922192983e-01,6.807500000000000000e+02,4.866402675488332363e+01,4.470000000000000000e+02,2.664582518894845720e+01,1.850000000000000000e+01,3.570714214271425213e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.250000000000000000e+01,8.660254037844385966e-01,7.500000000000000000e+00,8.660254037844385966e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.767156862745097978e-01,3.885944194624648546e-02,1.900878328084945679e+01,9.166118460338029905e+00,1.084633679986000061e+02,2.515822746651989306e+01,1.643250000000000000e+03,7.660776723022281409e+00,1.783750000000000568e+01,3.830388361511141149e-01,5.735451142499460309e-01,1.093078327268234319e-02
7.380613995919312886e-01,3.917091450778996398e-02,2.301585267857728101e-01,1.557407036371967653e-02,1.116629999999999967e+02,7.124391131879272976e+00,1.126350000000000051e+01,5.929255855501600614e-01,1.267150000000000034e+02,1.051347254716538160e+01,8.251950000000000784e+01,6.441179919083147354e+00,6.633361213234039155e-01,9.192435818782773715e-02,8.619526944298411264e-01,4.151590334185564779e-02,8.305100618317154959e-01,1.166537877050039113e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.890000000000000000e+02,7.314369419163896602e+00,2.050000000000000000e+01,5.000000000000000000e-01,7.110000000000000000e+02,8.336666000266532706e+00,4.632500000000000000e+02,7.292976072907411123e+00,2.925000000000000000e+01,6.378675411086536684e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.300000000000000000e+01,1.732050807568877193e+00,7.750000000000000000e+00,1.299038105676658006e+00,2.243005255036368550e-01,3.884999063366977312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.767156862745097978e-01,3.885944194624648546e-02,2.743248748779296875e+01,1.005392901732227351e+01,1.358958554863929749e+02,3.521081277252626762e+01,2.051500000000000000e+03,1.323820229487372657e+01,1.794000000000000128e+01,5.295280917949471977e-01,6.385090496851529851e-01,1.008129217599755406e-01
7.566490815287481020e-01,4.603192381400777328e-02,2.579258522403488074e-01,1.972349029755897723e-02,1.108030000000000115e+02,4.150687774333316149e+00,1.121950000000000003e+01,3.290938316043012235e-01,1.260715000000000146e+02,3.232328379048140299e+00,8.214300000000000068e+01,2.325200421469076684e+00,6.779972840157980629e-01,8.382475656024707122e-02,8.658194632144994296e-01,4.210903843018727610e-02,8.658606765901908364e-01,1.096029840276936118e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.475000000000000000e+02,3.587129771837088299e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.217500000000000000e+02,6.681457550564846315e+01,4.057500000000000000e+02,4.627296727031885837e+01,2.550000000000000000e+01,7.365459931328117271e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.300000000000000000e+01,1.732050807568877193e+00,8.000000000000000000e+00,1.732050807568877193e+00,2.243005255036368550e-01,3.884999063366977312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.950980392156862031e-01,7.535000989232039370e-02,2.820965725183486938e+01,4.073963193910751457e+00,1.641055127382278442e+02,3.346522802837662880e+01,2.453750000000000000e+03,1.589614733197953278e+01,1.820833333333333215e+01,5.298715777326532539e-01,6.545195116160178461e-01,9.135760986082605561e-02
7.641082030378478773e-01,5.781926495766106372e-02,2.802789004134015327e-01,3.247713476850867809e-02,1.106099999999999994e+02,2.969178674313823763e+00,1.111050000000000004e+01,4.681674379962791344e-01,1.266364999999999981e+02,6.562096368539553914e+00,8.228649999999998954e+01,4.124388287976778145e+00,6.844133508691883083e-01,8.828662578496160318e-02,8.692190612117336457e-01,4.657652675389221258e-02,8.851773061029126755e-01,6.497702636185061220e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.797500000000000000e+02,1.520485119953496955e+01,2.025000000000000000e+01,4.330127018922192983e-01,7.025000000000000000e+02,2.773535649671732628e+01,4.577500000000000000e+02,2.290605815062906103e+01,2.650000000000000000e+01,8.046738469715540631e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.300000000000000000e+01,1.732050807568877193e+00,8.000000000000000000e+00,1.732050807568877193e+00,2.326154238191009971e-01,4.029017326788505438e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.836601307189542176e-01,8.779118445011240002e-02,2.965755152702331543e+01,2.927894222446909556e+00,1.937630642652511597e+02,3.602570363888797544e+01,2.847750000000000000e+03,2.167227491519983573e+01,1.863571428571428257e+01,6.192078547199918459e-01,6.613126370764325079e-01,9.520722521204495747e-02
7.694989153432584272e-01,5.874802424850544130e-02,2.998871680232260695e-01,4.667282917108064866e-02,1.128479999999999990e+02,7.690048504398394158e+00,1.124699999999999989e+01,6.624447146743643877e-01,1.306195000000000164e+02,9.800525840484276330e+00,8.457800000000000296e+01,6.130844150685937244e+00,6.886075513288150152e-01,9.042388892419454816e-02,8.722362085995415404e-01,4.659488080183273734e-02,9.035370017642486706e-01,5.704366175115019311e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.797500000000000000e+02,1.631525359900973271e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.807500000000000000e+02,1.945989465541887142e+01,4.462500000000000000e+02,1.247747971346777973e+01,3.075000000000000000e+01,6.456585785072478600e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.350000000000000000e+01,1.658312395177699905e+00,8.500000000000000000e+00,1.658312395177699905e+00,2.243005255036368550e-01,3.884999063366977312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.950980392156862031e-01,7.535000989232039370e-02,2.784718269109725952e+01,7.602024533386391170e+00,2.216102469563484192e+02,4.317790999936881491e+01,3.236000000000000000e+03,2.766767066451384594e+01,1.910000000000000142e+01,6.916917666128429287e-01,6.656539691700301686e-01,9.846320590395651884e-02
8.240892019410654967e-01,4.818002420235147076e-02,3.148701648436506573e-01,5.445887593946199118e-02,1.152275000000000063e+02,1.098981313535403004e+01,1.173249999999999993e+01,1.037684320976277830e+00,1.363365000000000009e+02,1.474049655710417994e+01,8.801300000000000523e+01,9.166477349560187449e+00,8.016779740280804978e-01,1.017244264186547009e-01,8.823960760520388469e-01,5.915868084541583971e-02,8.624681700705671972e-01,6.207245491213937705e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.420000000000000000e+02,3.293933818400120828e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.242500000000000000e+02,5.432943493172002292e+01,4.100000000000000000e+02,3.618010503025108449e+01,3.675000000000000000e+01,1.528684074621044786e+01,4.750000000000000000e+00,1.299038105676658006e+00,2.800000000000000000e+01,2.771281292110203509e+01,1.775000000000000000e+01,1.861954618136543260e+01,6.607352908236892031e-01,3.858593451373003025e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.524101307189542176e-01,5.801497855802668219e-02,2.508168017864227295e+01,3.926005188393979051e+00,2.466919271349906921e+02,4.636704345565392060e+01,3.618250000000000000e+03,3.736559246151464464e+01,1.959444444444444144e+01,8.303464991447657706e-01,7.915882112751452260e-01,1.077941500045517531e-01
8.218394305460072768e-01,4.525782976129019003e-02,3.268974414291068165e-01,5.928030482087267433e-02,1.124715000000000060e+02,1.172902846573406599e+01,1.162250000000000050e+01,1.218555189558519825e+00,1.336419999999999959e+02,1.641139329855938200e+01,8.614600000000000080e+01,1.024807816129443871e+01,8.044063168874999725e-01,1.025333687113390430e-01,8.843856427456792124e-01,5.816371369437691591e-02,8.684097834655128967e-01,6.487298212741943182e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.695000000000000000e+02,2.168524844220144132e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.680000000000000000e+02,2.468805379125701904e+01,4.337500000000000000e+02,1.725362280797861914e+01,2.625000000000000000e+01,9.549214627392139221e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,6.678278321885366964e-01,3.884899863828490396e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.638480392156862031e-01,4.528729338073948091e-02,3.070343410968780518e+01,9.889526901241207923e+00,2.773953612446784973e+02,5.571027520864626581e+01,3.994250000000000000e+03,4.902231634674151195e+01,2.011500000000000199e+01,9.804463269348304699e-01,7.944089011552877277e-01,1.088059639752481933e-01
