# alignment_mean,alignment_std,ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,complexity_mean,complexity_std,generalization_mean,generalization_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,precision_mean,precision_std,regens_mean,regens_std,runtime_error_mean,runtime_error_std,simplicity_mean,simplicity_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std,metrics_average_mean,metrics_average_std
4.376040203125917127e-01,2.450779692412652366e-01,5.134146600266500590e-03,1.369016992442371799e-03,2.964372631578946198e+02,6.480617651217688291e+00,8.500000000000000000e+00,0.000000000000000000e+00,2.991322105263158164e+02,6.513110467025618355e+00,1.977902105263158035e+02,4.317044110316164307e+00,3.818752162528227245e-01,1.711374232493419467e-01,5.694465440243368093e-01,3.134665239421450256e-01,4.386625520379600629e-01,2.779749787370006664e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.683842105263157919e+03,1.504366497751391307e+02,1.300000000000000000e+01,0.000000000000000000e+00,1.700473684210526244e+03,1.513081096449272707e+02,1.122789473684210634e+03,1.002400166691339649e+02,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.143655061285825392e-01,3.224451813323128135e-01,5.832772947612561865e+01,8.466984762966884404e+00,5.832772947612561865e+01,8.466984762966884404e+00,1.884210526315789593e+02,2.209492239334338421e+02,4.421052631578946013e+00,5.194286227989609372e+00,3.504305174271136747e-01,1.918037441016129108e-01
6.532203552440900562e-01,9.075050178127498646e-02,2.671046892368325598e-02,6.603819791617282497e-03,1.342048421052631397e+02,9.479606372369543621e+00,9.504526315789471269e+00,2.734595839321075084e-01,1.470691578947368612e+02,9.566077198887183997e+00,9.648147368421052761e+01,6.385399425897711367e+00,5.330981315254588182e-01,6.485585281176582673e-02,8.084214670327085628e-01,1.173607405126700781e-01,6.543885740303952980e-01,1.892972006245437488e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.956315789473684390e+02,4.933350802294944160e+00,2.000000000000000000e+01,0.000000000000000000e+00,7.141578947368420813e+02,2.976621744244681267e+01,4.687368421052631788e+02,1.780550507793396875e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.449319247551284606e-01,6.343681396879735646e-02,7.222717310252942724e+00,3.695157896964074151e+00,6.555044678637855782e+01,1.165126088102928215e+01,3.540000000000000000e+02,4.151135545340512749e+02,6.705263157894738590e+00,7.868824140352902674e+00,5.140252399702355257e-01,5.786211383629921018e-02
7.077423637242568066e-01,4.381788056302556023e-02,7.629464938222960124e-02,1.898778164327764167e-02,1.021492631578947510e+02,9.979977643905479923e+00,9.993157894736842906e+00,4.027642987311688683e-01,1.153875789473684250e+02,1.113216219748597346e+01,7.533968421052631470e+01,7.179210109407151208e+00,5.771665211505183635e-01,3.986780320404822303e-02,8.574878548459281546e-01,5.920325741514557288e-02,7.655900353277053094e-01,1.437400639998333007e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.827894736842105203e+02,2.318706297047290832e+01,2.015789473684210620e+01,3.646422752776583565e-01,7.036842105263158373e+02,4.297006624148703224e+01,4.594736842105263008e+02,2.707760469281352300e+01,1.078947368421052566e+01,1.851853903764124176e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.589485840504252900e-01,6.569001645103761389e-02,1.015643791148537112e+01,6.276401271473250887e+00,7.570688469786392716e+01,1.647911890045010708e+01,5.240000000000000000e+02,6.144668206536546222e+02,7.171929824561402711e+00,8.417089710805853997e+00,5.569385092843947005e-01,3.436570382102377419e-02
7.532430709095410126e-01,4.933128650374907914e-02,1.609538618996770865e-01,3.342923459844638484e-02,1.089179999999999779e+02,1.245635661863156329e+01,1.119094736842105142e+01,7.033778256747719171e-01,1.238471578947368386e+02,1.436101363254058860e+01,8.052231578947369428e+01,9.026932713611333980e+00,6.199027120270533819e-01,6.732472475443265769e-02,8.505428475278248301e-01,7.059502393061112269e-02,7.917468588420600861e-01,1.096867381172243472e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.735789473684210407e+02,2.714738678801851890e+01,2.026315789473684248e+01,4.403473823863554570e-01,6.778421052631579187e+02,5.221641520269750458e+01,4.422105263157894797e+02,3.376322968364193855e+01,1.563157894736842124e+01,3.231596091159737227e+00,4.105263157894737169e+00,3.068922049918579864e-01,1.242105263157894690e+01,1.388516416660307007e+00,7.421052631578947789e+00,1.388516416660306785e+00,4.257599720007729932e-02,1.806346580157247306e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.961875147104088057e-01,5.635058441642552124e-02,2.095295943711933262e+01,1.514715074015393981e+01,9.665984413498325978e+01,2.960037700045362641e+01,6.974736842105263577e+02,8.178932093733619695e+02,7.231578947368421773e+00,8.487687840357128977e+00,5.982573314488481842e-01,6.446204717048667487e-02
7.729784083299340303e-01,5.044247399585594788e-02,2.426495858164922359e-01,2.976827138911389628e-02,1.203840000000000146e+02,1.156701466284738267e+01,1.230568421052631578e+01,1.141770234634823744e+00,1.379564210526315833e+02,1.553831440535159203e+01,8.936410526315788161e+01,9.498079949429870439e+00,6.630737235821422271e-01,9.572283559555692933e-02,8.592474721360933154e-01,7.498967812139387124e-02,7.855425712051531395e-01,1.246402588778436765e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.706315789473684390e+02,3.504164518836017095e+01,2.057894736842105132e+01,4.937279747182556910e-01,6.649473684210526017e+02,6.482322007965854027e+01,4.342631578947368212e+02,4.232685113340946259e+01,2.473684210526315752e+01,8.012109947896030704e+00,4.421052631578947789e+00,6.740130776245103483e-01,1.421052631578947434e+01,4.347763458539659176e+00,8.631578947368421240e+00,3.231596091159738560e+00,1.811615563462399547e-01,3.514614780205965183e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.866085492368691590e-01,7.001507022498704158e-02,3.474162622501975761e+01,2.717462541865556247e+01,1.314014703600030316e+02,5.028485193086221727e+01,8.690000000000000000e+02,1.019045528655949738e+03,7.345263157894737382e+00,8.623055612057868302e+00,6.407984833067797981e-01,9.945161639694308220e-02
8.056986685671996273e-01,5.620470195942282865e-02,2.826162796635203200e-01,3.171505798541963267e-02,1.222034736842105076e+02,1.327219748341551586e+01,1.238147368421052619e+01,1.489605789194649921e+00,1.393189473684210213e+02,1.815509809065873270e+01,9.004526315789473756e+01,1.093366309706959782e+01,7.092695204574919199e-01,1.146404240542278907e-01,8.611805074605691779e-01,6.941870017899787193e-02,8.087587783777239192e-01,1.273757212683124806e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.620000000000000000e+02,3.203780661393003015e+01,2.047368421052631504e+01,4.993069989739546966e-01,6.642105263157894797e+02,5.066461336170851837e+01,4.321052631578947398e+02,3.459372431197388664e+01,2.894736842105263008e+01,1.027758769674411177e+01,4.263157894736842479e+00,7.139294719079228857e-01,1.515789473684210442e+01,1.118863689498711977e+01,9.157894736842104422e+00,7.213023002252588967e+00,3.163944667795874355e-01,4.162486008314900676e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.687519236688212576e-01,7.714193355768071692e-02,3.439660791346901192e+01,2.116113413957558720e+01,1.657980782734720435e+02,6.588527145866534340e+01,1.039684210526315837e+03,1.219265484350984025e+03,7.449122807017543479e+00,8.754650349346018601e+00,6.916367887343148890e-01,1.207698707190028864e-01
8.311410216447208121e-01,6.212077602430684381e-02,3.009209766312729850e-01,4.245512182904630227e-02,1.182929473684210393e+02,1.570983778090955241e+01,1.230726315789473624e+01,1.848710299872099228e+00,1.365549473684210398e+02,2.097397988353962006e+01,8.812252631578945739e+01,1.255387651335098020e+01,7.648248439694718126e-01,1.130920490375722787e-01,8.804233811329114090e-01,5.879085913077380238e-02,8.032793021863980920e-01,1.112902369066488262e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.652105263157894797e+02,2.307557137883770437e+01,2.042105263157894868e+01,4.937279747182556355e-01,6.710000000000000000e+02,3.990910725768321754e+01,4.373157894736842195e+02,2.453151063123540254e+01,2.968421052631579116e+01,1.057331612363952367e+01,4.105263157894737169e+00,4.465937565388720665e-01,1.263157894736842124e+01,2.679562539233233398e+00,7.368421052631578760e+00,1.563078147886052260e+00,5.326637763403194725e-01,4.097918374739940583e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.901299947495155962e-01,6.874919328272281749e-02,3.542274219111392597e+01,2.312716000058651744e+01,2.012208204645859553e+02,8.186675107178352562e+01,1.206315789473684163e+03,1.414812133804774248e+03,7.639097744360902276e+00,8.993852587360075646e+00,7.604126170244294158e-01,1.170637969598567751e-01
8.461361772691241567e-01,5.097569910261438852e-02,3.156743836102409717e-01,4.422552750604581695e-02,1.164295789473684408e+02,1.443935767020049354e+01,1.243168421052631523e+01,1.935385968649516508e+00,1.360102105263158023e+02,1.857362459193128146e+01,8.769378947368423383e+01,1.101068267676033763e+01,7.770030815666933988e-01,1.132029307043034422e-01,8.758053023631615641e-01,5.399364083726492652e-02,8.103488457345638940e-01,1.122053787927089624e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.728421052631579187e+02,2.529252678870461679e+01,2.031578947368420884e+01,4.648295192804130505e-01,6.839473684210526017e+02,4.333768711703174858e+01,4.457368421052631788e+02,2.842689998327780643e+01,2.557894736842105132e+01,1.105639033830749796e+01,4.315789473684210620e+00,6.531407182100450459e-01,1.400000000000000000e+01,4.205259864302774986e+00,8.368421052631578760e+00,2.757010706043956816e+00,5.434575196243026651e-01,4.171107106808655818e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.064160013035685859e-01,7.037609930218065302e-02,3.626550518838983095e+01,2.628211131419215363e+01,2.374863256529757791e+02,9.978139672412494576e+01,1.371368421052631675e+03,1.608461841588066591e+03,7.821052631578948144e+00,9.213624291025618973e+00,7.735280744204042769e-01,1.179410311448039067e-01
8.624613437531323257e-01,4.596882834950495600e-02,3.352964107154368101e-01,4.228682562821684671e-02,1.163962105263157838e+02,1.680655299383624524e+01,1.250031578947368338e+01,2.064052759745702126e+00,1.353291578947368237e+02,2.013096241395108521e+01,8.719094736842103543e+01,1.197816660021445223e+01,8.123593611079209520e-01,1.007975733061776819e-01,8.846244390102423472e-01,5.465240383551345227e-02,8.441122531830425046e-01,9.320428675445990852e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.626842105263157805e+02,3.234200890739789713e+01,2.021052631578947256e+01,4.076824574955176250e-01,6.676315789473684390e+02,6.538486105668239645e+01,4.350526315789473415e+02,3.994927531680581012e+01,2.773684210526315752e+01,1.132692230815896650e+01,4.368421052631578760e+00,8.712076503814129014e-01,1.589473684210526372e+01,1.082829984634369680e+01,9.526315789473684958e+00,7.066365261259862862e+00,6.310894640674994394e-01,3.802698745367937838e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.039645682834538398e-01,6.309138355894863825e-02,3.661715961757459326e+01,3.404348125926531310e+01,2.741034852705503795e+02,1.273519074609373973e+02,1.533631578947368325e+03,1.798786146574415170e+03,8.024561403508773338e+00,9.451421969432976411e+00,8.075126405767530935e-01,1.065073171793868567e-01
8.740756987041218284e-01,3.964036430841512415e-02,3.567271214980240468e-01,4.775639319710833081e-02,1.175264210526315765e+02,2.173834513218227471e+01,1.231021052631578705e+01,2.018893797653800615e+00,1.352031578947368189e+02,2.274786705851586532e+01,8.705452631578945955e+01,1.353799089256608390e+01,8.356623714363281552e-01,9.202182400881125934e-02,9.080693141998386064e-01,4.641720643463102813e-02,8.581679947272344844e-01,1.051943334892618126e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.750526315789473415e+02,2.575690747253009150e+01,2.036842105263157876e+01,4.823763889427201135e-01,6.796842105263158373e+02,5.598783009827737089e+01,4.424210526315789593e+02,3.572308083235716936e+01,3.000000000000000000e+01,1.204377978788002324e+01,4.157894736842105310e+00,3.646422752776583565e-01,1.252631578947368496e+01,1.271899576167849544e+00,7.421052631578947789e+00,9.902572485382515888e-01,6.921915613724839433e-01,3.607506911019910389e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.976694186446508850e-01,5.067247897778096033e-02,3.535176969829358740e+01,2.564693033220735074e+01,3.094552549688439740e+02,1.496610016735468776e+02,1.698789473684210634e+03,1.992599401970025383e+03,8.129473684210527296e+00,9.582030041853954572e+00,8.295654163666675851e-01,9.845190533496823992e-02
