# alignment_mean,alignment_std,ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,complexity_mean,complexity_std,generalization_mean,generalization_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,precision_mean,precision_std,regens_mean,regens_std,runtime_error_mean,runtime_error_std,simplicity_mean,simplicity_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std,metrics_average_mean,metrics_average_std
3.796933999538303350e-01,2.758195132562186180e-01,4.940715187336590722e-03,1.312631198148494658e-03,2.972441600000000221e+02,6.039578102351192967e+00,8.500000000000000000e+00,0.000000000000000000e+00,2.998986400000000003e+02,6.051547047689540548e+00,1.983275199999999643e+02,4.023560464265448111e+00,3.393053322299774965e-01,1.905912556639421940e-01,4.942934848721918240e-01,3.526973717643767103e-01,3.793452822843156880e-01,2.959784634824712546e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.689160000000000082e+03,1.450392167656734159e+02,1.300000000000000000e+01,0.000000000000000000e+00,1.705799999999999955e+03,1.463193767072563674e+02,1.126319999999999936e+03,9.665307858521630635e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.291400068799450018e-01,3.664450519684098739e-01,5.680508213043212606e+01,8.133819069177214089e+00,5.680508213043212606e+01,8.133819069177214089e+00,1.431999999999999886e+02,2.087528682437680914e+02,3.359999999999998987e+00,4.906159394067827861e+00,3.282952298702556670e-01,2.030247195620987488e-01
6.502345780573774991e-01,9.416387545106942591e-02,2.525901017002437840e-02,6.520493209466363994e-03,1.346405599999999936e+02,8.963420767006311962e+00,9.514479999999998938e+00,2.459809943877779570e-01,1.475377600000000200e+02,8.869499202457827636e+00,9.685423999999999012e+01,5.935047101952939386e+00,5.322279579413807804e-01,6.145676639017365328e-02,8.045037001137275157e-01,1.233840783256996837e-01,6.743129206949189935e-01,1.793976174164705062e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.953999999999999773e+02,5.019960159204452488e+00,2.000000000000000000e+01,0.000000000000000000e+00,7.138400000000000318e+02,2.911450497604244347e+01,4.686399999999999864e+02,1.747427823974426531e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.445927072583421236e-01,7.216189003169375116e-02,6.533808813095093093e+00,3.453696633425014983e+00,6.333889094352721827e+01,1.110584356065169409e+01,2.690400000000000205e+02,3.921992840381023484e+02,5.096000000000000973e+00,7.433625225958058635e+00,5.173608511103665597e-01,4.975789082836908767e-02
7.043635230460558727e-01,4.643470655287147697e-02,7.238960227616847432e-02,1.899565223871853628e-02,1.012572800000000086e+02,9.327151365856565235e+00,9.956559999999999633e+00,3.663853796209671776e-01,1.144391200000000168e+02,1.059628327412966087e+01,7.471175999999999817e+01,6.829507726212775687e+00,5.731114801645883494e-01,3.880779945973156925e-02,8.604487089572255831e-01,6.798883200302956176e-02,7.573217908196002712e-01,1.421686462217524871e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.844800000000000182e+02,2.112462070665412028e+01,2.016000000000000014e+01,3.666060555964671397e-01,7.071599999999999682e+02,4.095038949753714519e+01,4.610799999999999841e+02,2.589659437068897674e+01,1.091999999999999993e+01,1.874459922217597274e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.629015206387665726e-01,7.256730484352133526e-02,1.018292033195495527e+01,7.995023830363797046e+00,7.352181127548217887e+01,1.631240774424003703e+01,3.982400000000000091e+02,5.805475539523012003e+02,5.450666666666665883e+00,7.951481315522983095e+00,5.626829906297655670e-01,4.935798603419045555e-02
7.452296995172644767e-01,4.726076819322611727e-02,1.546436250715980398e-01,3.478346994283260801e-02,1.078108000000000004e+02,1.294075870418732421e+01,1.123063999999999929e+01,6.815478195988893262e-01,1.225031199999999956e+02,1.440786122176362483e+01,7.953776000000000579e+01,9.097089491831990671e+00,6.148931324776768514e-01,6.804242504905227973e-02,8.542243114929074510e-01,7.037073656595062288e-02,7.829840404690151523e-01,1.284919415666109788e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.710400000000000205e+02,2.907023219721507701e+01,2.023999999999999844e+01,4.270831300812525377e-01,6.792799999999999727e+02,5.097648085146717989e+01,4.434399999999999977e+02,3.273539979899435792e+01,1.632000000000000028e+01,3.367135280917593398e+00,4.080000000000000071e+00,2.712931993250106699e-01,1.232000000000000028e+01,1.223764683262269282e+00,7.320000000000000284e+00,1.223764683262269282e+00,6.671771842886642379e-02,2.263615043397408655e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.948018575851395262e-01,5.856547965286817287e-02,2.226766125679016284e+01,1.617032194533637224e+01,9.578947253227234171e+01,2.992625805346160917e+01,5.300800000000000409e+02,7.727441449794362143e+02,5.496000000000000441e+00,8.018091044631509234e+00,6.069055355837182919e-01,7.644207470516876934e-02
7.677323671100709790e-01,4.819035141523620586e-02,2.382550239151816629e-01,3.113484562454633259e-02,1.215064799999999963e+02,1.331219378801255537e+01,1.263992000000000004e+01,1.392760307303449796e+00,1.395508000000000095e+02,1.560798877498314852e+01,9.017127999999998167e+01,9.504500186837811171e+00,6.511857636177416087e-01,9.097255901392109489e-02,8.624767506137197559e-01,7.482054670960676390e-02,7.799691423907401111e-01,1.369157211248267503e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.686000000000000227e+02,4.099951219222004539e+01,2.060000000000000142e+01,4.898979485566357095e-01,6.650399999999999636e+02,6.742312956248767364e+01,4.341999999999999886e+02,4.403816526605076831e+01,2.367999999999999972e+01,8.191312471148931351e+00,4.360000000000000320e+00,6.248199740725322027e-01,1.375999999999999979e+01,3.891323682244898663e+00,8.320000000000000284e+00,2.894408402420086901e+00,1.720427433799500694e-01,3.445844214556107454e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.836002751977984904e-01,7.018744566502127524e-02,3.530066584587097367e+01,2.501167838841741542e+01,1.310901383781433083e+02,4.849287623661729896e+01,6.604400000000000546e+02,9.627908632719777415e+02,5.582399999999999807e+00,8.145697897663527698e+00,6.398233391481066290e-01,9.261894591579142300e-02
8.011720864432004818e-01,5.243855191632057489e-02,2.814238276996764432e-01,2.914131483926584235e-02,1.217831199999999825e+02,1.423470899546597757e+01,1.272311999999999976e+01,1.733037294924722582e+00,1.391221600000000080e+02,1.673826128050341921e+01,8.975728000000002282e+01,1.010414416175857966e+01,6.975545930165558683e-01,1.104233657967740728e-01,8.655711233871103971e-01,7.320191359424524369e-02,7.869957440948287530e-01,1.479833411729818693e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.624399999999999977e+02,3.599231028983830072e+01,2.048000000000000043e+01,4.995998398718718425e-01,6.643600000000000136e+02,5.574648329715516581e+01,4.318399999999999750e+02,3.768467062347765761e+01,2.683999999999999986e+01,1.005854860305402099e+01,4.240000000000000213e+00,6.499230723708770974e-01,1.456000000000000050e+01,9.839024341874557322e+00,8.759999999999999787e+00,6.351566735853444001e+00,3.132797438508249654e-01,4.196548499481171923e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.585782593739251789e-01,8.295191586703280773e-02,3.588762480735778837e+01,2.254761199854249298e+01,1.669777631855010895e+02,6.396500101738234179e+01,7.901599999999999682e+02,1.151948946090927848e+03,5.661333333333333329e+00,8.268653954678608642e+00,6.991267120132204083e-01,1.094461003798628540e-01
8.209483385726933369e-01,5.931758845824058185e-02,2.968425094367017070e-01,4.130156894656061145e-02,1.181245600000000167e+02,1.641849629675019884e+01,1.269352000000000125e+01,2.054949636755119879e+00,1.358755999999999915e+02,1.923640880414013310e+01,8.760775999999998476e+01,1.155645039371519189e+01,7.426480622966152856e-01,1.142297841619314830e-01,8.840048477393993576e-01,5.912131216710901638e-02,7.921146290283526126e-01,1.294957810036179158e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.668399999999999750e+02,2.313383669000885945e+01,2.048000000000000043e+01,4.995998398718718425e-01,6.775199999999999818e+02,3.976040241245050311e+01,4.415199999999999818e+02,2.529366719161141930e+01,2.948000000000000043e+01,9.712342662818274519e+00,4.320000000000000284e+00,7.332121111929341684e-01,1.375999999999999979e+01,4.282802820583735404e+00,8.199999999999999289e+00,2.828427124746190291e+00,4.788700282958593957e-01,4.272969930874307432e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.844987960096319934e-01,8.182290998630613321e-02,3.527374119758606241e+01,2.193342177438863416e+01,2.022515043830871662e+02,7.911406163395341196e+01,9.167999999999999545e+02,1.336680605081108752e+03,5.805714285714285161e+00,8.492351420723311506e+00,7.587979507239475119e-01,1.091679605320665380e-01
8.375911454078145413e-01,4.969290170808239593e-02,3.139827832572762989e-01,4.250306692884657511e-02,1.155319999999999823e+02,1.415014251235654363e+01,1.283903999999999712e+01,2.258354595363623929e+00,1.343244799999999941e+02,1.742518495768696241e+01,8.654760000000000275e+01,1.037666432722962995e+01,7.545372893194739472e-01,1.152839542688336855e-01,8.716378528669547210e-01,6.359251267437797395e-02,8.043087693361395951e-01,1.285341233344378109e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.633199999999999932e+02,3.661226024161852166e+01,2.035999999999999943e+01,4.800000000000000933e-01,6.650399999999999636e+02,5.897150498333920865e+01,4.341999999999999886e+02,3.790408948913032816e+01,2.451999999999999957e+01,1.035806931816928866e+01,4.280000000000000249e+00,6.013318551349163821e-01,1.367999999999999972e+01,3.781216735390870998e+00,8.160000000000000142e+00,2.492869832141261455e+00,4.824604440619968404e-01,4.299799926202458322e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.934643962848298759e-01,7.954022965551593716e-02,3.738125411987304858e+01,2.805813212180401095e+01,2.396327585029602005e+02,9.840203690273094139e+01,1.042240000000000009e+03,1.519626408825537737e+03,5.944000000000000838e+00,8.699095585174358547e+00,7.718534422157325992e-01,1.118361785697265520e-01
8.514236049537879936e-01,4.640690306961887251e-02,3.317866458946012731e-01,4.461140757656222033e-02,1.154364800000000173e+02,1.531885893693130463e+01,1.302799999999999869e+01,2.511432228828800906e+00,1.343522399999999948e+02,1.827233416787247933e+01,8.649175999999997089e+01,1.084617578054126774e+01,7.922323321719422218e-01,1.065740360546886673e-01,8.833405804876091061e-01,5.719451503502428341e-02,8.277182592215969192e-01,1.101072822804746720e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.660799999999999841e+02,3.070233867313693921e+01,2.023999999999999844e+01,4.270831300812524822e-01,6.648799999999999955e+02,6.497957833042624998e+01,4.327599999999999909e+02,4.035173354392596679e+01,2.671999999999999886e+01,1.047862586411023855e+01,4.280000000000000249e+00,7.756287771866127168e-01,1.496000000000000085e+01,9.585322112480097800e+00,8.919999999999999929e+00,6.254086663934232071e+00,5.921335395100471022e-01,4.093688244085868511e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.930451574569224782e-01,6.689791218279809992e-02,3.931463161468505518e+01,3.335773559643502040e+01,2.789473901176452841e+02,1.261569370975595206e+02,1.165559999999999945e+03,1.699438003105732605e+03,6.098666666666668235e+00,8.923884621662292460e+00,8.068057027951130999e-01,9.904501606656852808e-02
8.665829841287693291e-01,3.927281708305749991e-02,3.506053491283538381e-01,4.794251172561687230e-02,1.163501600000000167e+02,1.962831028016421442e+01,1.295720000000000027e+01,2.593190529058750027e+00,1.344028799999999819e+02,2.046951126005698995e+01,8.640680000000000405e+01,1.217934789715771338e+01,8.207727384672227622e-01,9.698127549565875583e-02,9.082040717810576647e-01,4.458687029362627674e-02,8.304123511255100398e-01,1.337592983043396078e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.735600000000000023e+02,2.491277583891445957e+01,2.039999999999999858e+01,4.898979485566357095e-01,6.720399999999999636e+02,5.909820978676088998e+01,4.373999999999999773e+02,3.816280912092295097e+01,2.944000000000000128e+01,1.177821718257903427e+01,4.320000000000000284e+00,7.332121111929341684e-01,1.343999999999999950e+01,3.600888779176607546e+00,7.959999999999999964e+00,2.271211130652542209e+00,6.720289507661308948e-01,3.807474328387262519e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.873398692810456900e-01,6.385452195709265255e-02,3.981643817901611015e+01,2.752899064909984972e+01,3.187638282966613588e+02,1.499794538070601106e+02,1.291079999999999927e+03,1.882532696555361326e+03,6.178399999999999892e+00,9.046222495605556801e+00,8.278802829153778520e-01,8.974148566163703267e-02
