alignment	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	best_phenotype	complexity	gen	generalization	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	regens	runtime_error	simplicity	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search
0.650500643	0.017198407	302.604	8.5	304.676	201.896	0.608717986	seq({d}{h}{a}){b}opt({e}{a}{g}{b}){d}	0.740891808	0	0.820967157	0	1572	13	1568	1048	10	4	12	7	0	0	0	0.705882353	0	59.44196987	500	59.44196987	448	10.4
0.81649257	0.12984057	111.14	9.234	121.884	80.546	0.702595594	{a}xor({c}{d})xor({f}{h}{g}{e}{c}{a})lo1({b})	0.897261941	1	0.568643642	0	496	20	734	487	13	4	12	7	0	0	0	0.888888889	0	8.628407717	1000	68.07037759	860	14
0.81649257	0.344344756	102.332	10.066	115.738	75.694	0.702595594	{a}xor({c}{d})xor({f}{h}{g}{e}{c}{a})lo1({b})	0.897261941	2	0.568643642	0	482	20	705	457	16	4	12	7	0	0	0	0.888888889	0	17.56274533	1500	85.63312292	1238	17.46666667
0.821548527	0.361765076	106.66	10.478	119.45	78.082	0.749534383	opt({f}){a}{c}{b}{d}lo4({d})and({e})lo1({h})	0.938385251	3	0.838362371	0	489	20	707	459	16	4	12	7	0	0	0	0.933333333	0	18.48405814	2000	104.1171811	1631	18.45
0.821548527	0.416364746	102.108	10.162	110.214	73.032	0.749534383	opt({f}){a}{c}{b}{d}lo4({d})and({e})lo1({h})	0.938385251	4	0.838362371	0	471	20	644	423	25	4	12	7	0	0	0	0.933333333	0	12.28632236	2500	116.4035034	2024	19.04
0.858632801	0.428575577	95.462	9.84	101.748	67.996	0.833205341	opt({f}lo3({e})){a}opt(seq(opt({c}{g}))){b}{d}lo4({d})and({e})lo1({h})	0.756418937	5	0.674744958	0	494	20	705	462	30	4	12	7	0.858771155	0	0	0.941176471	0	9.255750179	3000	125.6592536	2414	19.53333333
0.909702994	0.47816943	103.77	9.816	111.572	73.614	0.864379475	{a}opt({c}{d})xor({f}{b}{e}{c}{a})lo1({h})	0.926349797	6	0.716835089	0	496	20	715	473	30	4	12	7	0.809509529	0	0	0.823529412	0	9.138187408	3500	134.797441	2789	20.31428571
0.909702994	0.482968249	115.038	11.9	127.694	83.512	0.887853304	{a}opt({c}{d})xor({f}{b}{e}{c})lo1({h})	0.933366268	7	0.833029811	0	500	21	711	468	39	4	12	7	0.822618374	0	0	0.875	0	12.16861725	4000	146.9660583	3167	20.825
0.909702994	0.537786985	127.4	12.954	147.318	95.856	0.913161941	{a}opt({c}{d})xor({f}{b}{e})lo1({h})	0.941526822	8	0.949755546	0	496	20	714	464	39	4	12	7	0.841867852	0	0	0.933333333	0	17.9448452	4500	164.9109035	3542	21.28888889
0.909702994	0.53319388	110.356	11.768	122.166	79.37	0.913161941	{a}opt({c}{d})xor({f}{b}{e})lo1({h})	0.941526822	9	0.949755546	0	499	20	716	470	39	4	12	7	0.841867852	0	0	0.933333333	0	15.86204529	5000	180.7729487	3916	21.68
0.903547833	0.54502986	98.764	10.904	104.478	68.426	0.926515166	{a}and({c}{d})xor({f}{b}{e})lo1({h})	0.959264759	10	0.951912407	0	461	20	650	429	36	4	12	7	0.953419502	0	0	0.933333333	0	10.89984131	5500	191.6727901	4275	22.27272727
0.903547833	0.489985647	96.008	10.268	100.786	66.396	0.926515166	{a}and({c}{d})xor({f}{b}{e})lo1({h})	0.959264759	11	0.951912407	0	489	20	702	460	36	4	12	7	0.953419502	0	0	0.933333333	0	9.685950279	6000	201.3587403	4612	23.13333333
0.903547833	0.532832543	93.864	9.928	97.72	64.396	0.926515166	{a}and({c}{d})xor({f}{b}{e})lo1({h})	0.959264759	12	0.951912407	0	474	20	687	445	36	4	12	7	0.953419502	0	0	0.933333333	0	5.858434439	6500	207.2171748	4893	24.72307692
0.903547833	0.514630574	91.276	9.9	93.834	61.802	0.927392937	{a}and({c}{d})xor({f}{g}{e})lo1({h})	0.959264759	13	0.958934569	0	455	20	652	426	36	4	12	7	0.953419502	0	0	0.933333333	0	7.697301388	7000	214.9144762	5183	25.95714286
0.903547833	0.527989309	86.508	9.546	86.328	56.854	0.927392937	{a}and({c}{d})xor({f}{g}{e})lo1({h})	0.959264759	14	0.958934569	0	465	20	675	433	36	4	12	7	0.953419502	0	0	0.933333333	0	4.999851465	7500	219.9143276	5452	27.30666667
0.91876944	0.528145698	92.596	10.114	95.392	62.906	0.937800812	{a}and({c}{d})lo2({f}{b}{e})lo1({h})	0.971617651	15	0.956888371	0	476	20	688	447	36	4	12	7	0.965489385	0	0	0.933333333	0	3.56874609	8000	223.4830737	5728	28.4
0.91876944	0.516990269	93.164	10.232	96.656	63.636	0.937800812	{a}and({c}{d})lo2({f}{b}{e})lo1({h})	0.971617651	16	0.956888371	0	451	20	637	422	38	4	12	7	0.965489385	0	0	0.933333333	0	4.70978713	8500	228.1928608	6024	29.12941176
0.91876944	0.560381894	91.372	9.932	93.954	61.91	0.937800812	{a}and({c}{d})lo2({f}{b}{e})lo1({h})	0.971617651	17	0.956888371	0	466	20	654	434	36	4	12	7	0.965489385	0	0	0.933333333	0	6.333580732	9000	234.5264416	6343	29.52222222
0.91876944	0.53837746	88.626	9.548	89.592	59.074	0.937800812	{a}and({c}{d})lo2({f}{b}{e})lo1({h})	0.971617651	18	0.956888371	0	408	20	572	379	36	4	12	7	0.965489385	0	0	0.933333333	0	8.907083988	9500	243.4335256	6664	29.85263158
0.928260417	0.52942747	95.306	10.168	99.57	65.772	0.94195595	{a}and({c}{d})xor({b}{e})opt({g}{h})	0.961156393	19	0.962626819	0	393	20	562	364	36	4	12	7	0.965489385	0	0	0.933333333	0	10.46901941	10000	253.902545	6982	30.18
0.928260417	0.539250956	93.458	9.878	96.666	64.05	0.94195595	{a}and({c}{d})xor({b}{e})opt({g}{h})	0.961156393	20	0.962626819	0	480	20	691	451	36	4	12	7	0.965489385	0	0	0.933333333	0	9.068152428	10500	262.9706974	7266	30.8
0.928260417	0.529385719	90.642	9.766	92.504	61.3	0.94195595	{a}and({c}{d})xor({b}{e})opt({g}{h})	0.961156393	21	0.962626819	0	498	20	712	469	36	4	12	7	0.965489385	0	0	0.933333333	0	5.919752359	11000	268.8904498	7528	31.56363636
0.928260417	0.552067563	96.914	10.092	102.126	67.56	0.94195595	{a}and({c}{d})xor({b}{e})opt({g}{h})	0.961156393	22	0.962626819	0	493	20	691	461	36	4	12	7	0.965489385	0	0	0.933333333	0	7.646366835	11500	276.5368166	7787	32.28695652
0.943960491	0.52242509	98.242	10.398	104.91	69.014	0.959882714	{a}and({c}{d})lo2({f}{b}{e})opt({g}{h})	0.969451351	23	0.956503591	0	498	20	721	469	36	4	12	7	0.977264806	0	0	1	0	6.650609255	12000	283.1874259	8059	32.84166667
