# alignment_mean,alignment_std,ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,complexity_mean,complexity_std,generalization_mean,generalization_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,precision_mean,precision_std,regens_mean,regens_std,runtime_error_mean,runtime_error_std,simplicity_mean,simplicity_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std,metrics_average_mean,metrics_average_std
4.955961139042634467e-01,2.200315894443821974e-01,5.356679202503291520e-03,2.264060467312827354e-03,2.984476666666666915e+02,5.414542609183778055e+00,8.500000000000000000e+00,0.000000000000000000e+00,3.011274444444445066e+02,5.411562243343435163e+00,1.991307222222222038e+02,3.608958210797665878e+00,4.460860994120442458e-01,1.626594290177425239e-01,6.803262529046505414e-01,2.864490117189090745e-01,4.906421722635786464e-01,2.543978531159646339e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.678944444444444343e+03,1.172127563318667995e+02,1.300000000000000000e+01,0.000000000000000000e+00,1.689694444444444343e+03,1.148580813788245933e+02,1.119500000000000000e+03,7.814178708532898554e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.771804548523676637e-01,2.782184496987257782e-01,6.741906757482966839e+01,1.214098090996830770e+01,6.741906757482966839e+01,1.214098090996830770e+01,1.118888888888888857e+02,1.938008396062791689e+02,2.622222222222221788e+00,4.547961149491485777e+00,3.937758853416249427e-01,1.702513298841306089e-01
6.678508903460588231e-01,7.817379868310485314e-02,2.904975206463254397e-02,1.838673278286161172e-02,1.386062777777777910e+02,1.058845760620474330e+01,9.623000000000004661e+00,2.950512196589302194e-01,1.518398888888889076e+02,1.109317034079422193e+01,9.969161111111112916e+01,7.291255414222717057e+00,5.712942857563906296e-01,5.771481923885637966e-02,8.456917522568446755e-01,7.756091926290173411e-02,6.497894635443770550e-01,1.578944770719871993e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.957777777777777715e+02,4.808043671870847469e+00,2.000000000000000000e+01,0.000000000000000000e+00,7.260000000000000000e+02,3.006659275674581622e+01,4.762500000000000000e+02,1.857473642702187178e+01,1.008333333333333393e+01,4.930066485916347885e-01,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.494215196067752549e-01,6.947490407929272915e-02,9.110457632283662122e+00,4.463332586265328139e+00,7.652952520719665586e+01,1.451818429043810355e+01,2.107222222222222285e+02,3.650011880582726462e+02,3.927777777777778923e+00,6.813614276298063821e+00,5.213268180669232699e-01,4.757819172108888189e-02
7.023751519949519295e-01,6.926748774311167201e-02,8.721246567878471190e-02,4.855015456353631992e-02,1.057710555555555487e+02,1.011789846961106853e+01,1.004605555555555618e+01,4.089510935473584241e-01,1.190095555555555507e+02,1.251122868210003247e+01,7.763177777777775646e+01,7.983327763084735906e+00,6.014507145185943315e-01,4.276582836271978355e-02,8.748103629562787864e-01,7.449743082788558290e-02,7.246531898353553158e-01,1.307446157345059368e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.864166666666666856e+02,1.545131242178332265e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.881388888888889142e+02,4.718942488511228106e+01,4.485833333333333144e+02,3.078092392664289889e+01,1.033333333333333393e+01,1.374368541872554639e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.763033673539255552e-01,6.425779401342619768e-02,1.212204827857414990e+01,6.480735772391044591e+00,8.865157348577081109e+01,1.914757370403489745e+01,3.114166666666666856e+02,5.394000460903041585e+02,4.238888888981482417e+00,7.345417232767461613e+00,5.513071456461360320e-01,3.597575333663406705e-02
7.523879880799877462e-01,6.193410711186471407e-02,1.805477343534527268e-01,5.254865952416113567e-02,1.124524444444444953e+02,1.438268189417870424e+01,1.112883333333333447e+01,5.832528277780664183e-01,1.267022777777777804e+02,1.730448681798887023e+01,8.227327777777779261e+01,1.070059311079715414e+01,6.467285401940672251e-01,7.480219627269453497e-02,8.777287951679690892e-01,5.939049082410624569e-02,7.505849396205204194e-01,1.393126639412672341e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.745277777777777715e+02,2.740993951015976293e+01,2.038888888888888928e+01,4.874980215217846191e-01,6.870833333333333712e+02,4.909422629551824713e+01,4.489166666666666856e+02,3.097882341213106727e+01,1.744444444444444287e+01,3.616662399724398735e+00,4.027777777777777679e+00,1.643355495305447722e-01,1.205555555555555536e+01,3.286710990610895444e-01,7.055555555555555358e+00,3.286710990610895444e-01,9.636548728322155699e-02,2.736950766970806526e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.734805081784214886e-01,6.218071520121263435e-02,2.517968397003302528e+01,1.732678991312370087e+01,1.138312574569149263e+02,3.426602886964778349e+01,4.124166666666666856e+02,7.143575347821283685e+02,4.379166666666667318e+00,7.592214350899222808e+00,6.032935468356669384e-01,7.819029455166340292e-02
7.809812772540692949e-01,5.065197733504536032e-02,2.646941870654027085e-01,4.362375560669199542e-02,1.192290000000000418e+02,1.555191121873950344e+01,1.203372222222222199e+01,1.181160084434674795e+00,1.366502777777777737e+02,1.881148437732639422e+01,8.848338888888889642e+01,1.147191884384981897e+01,6.742085711781292678e-01,7.813903648187349449e-02,8.846288262442949524e-01,4.993656686415377105e-02,7.657766609180221007e-01,1.290032814470768174e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.744722222222222285e+02,2.510808425710190406e+01,2.050000000000000000e+01,5.000000000000000000e-01,6.832222222222221717e+02,4.195044107244689258e+01,4.456944444444444571e+02,2.707686532452509098e+01,2.319444444444444287e+01,8.520626752000909576e+00,4.361111111111110716e+00,8.867160944173541059e-01,1.430555555555555536e+01,6.068220700430713599e+00,8.611111111111110716e+00,3.967071252320490959e+00,1.644964573639708660e-01,3.367000924061939182e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.660712548261856325e-01,6.572709319152789109e-02,3.723344425373499433e+01,3.056471737715858694e+01,1.510647017089832786e+02,6.040861017335554806e+01,5.136388888888889142e+02,8.897091020470855938e+02,4.454444444444444429e+00,7.726469095994500158e+00,6.355957424360533237e-01,8.527811270986808412e-02
7.864125772346534093e-01,5.034997691666873165e-02,3.015595190269670378e-01,3.757782272921786348e-02,1.190746111111110963e+02,1.455477677846650053e+01,1.230622222222222106e+01,1.614648690911347551e+00,1.378163888888888664e+02,1.801380021489354633e+01,8.912783333333335634e+01,1.080331224285712466e+01,6.953045732102094423e-01,8.953763876274947742e-02,8.943393091876539192e-01,4.635652926081632735e-02,7.836218836017528888e-01,1.375079837108549863e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.673888888888889142e+02,3.460593861831118545e+01,2.044444444444444287e+01,4.969039949999531913e-01,6.657222222222221717e+02,5.849672883119720268e+01,4.340000000000000000e+02,3.904840301187460483e+01,2.502777777777777857e+01,1.010634044963608957e+01,4.194444444444444642e+00,5.685969302905199418e-01,1.294444444444444464e+01,2.886216712857897271e+00,7.694444444444444642e+00,1.983535626160244369e+00,2.481322978478783248e-01,4.007747733940769108e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.831098389974605389e-01,6.964526850209148967e-02,5.141330078574538476e+01,4.748684619510353855e+01,2.024780024953119835e+02,9.741489958802033300e+01,6.142777777777778283e+02,1.064054525835314962e+03,4.524074073981481092e+00,7.850126251505322728e+00,6.635808284041978533e-01,1.016340962385011426e-01
8.072141091034507054e-01,5.304661211532560317e-02,3.195332720780206248e-01,4.780371373042491268e-02,1.190054444444444641e+02,1.680480597005981380e+01,1.231394444444444503e+01,1.778374381663778259e+00,1.372527222222222179e+02,1.886328959264987049e+01,8.870216666666664196e+01,1.123208765966703560e+01,7.508906778793300596e-01,1.024426698964455013e-01,9.043895388409670666e-01,4.235528630924455251e-02,8.016817757325147564e-01,1.201502984515927519e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.678333333333333144e+02,2.462552875912853523e+01,2.044444444444444287e+01,4.969039949999531913e-01,6.754444444444444571e+02,4.447811224788888040e+01,4.389166666666666856e+02,2.902620942068277188e+01,2.736111111111111072e+01,9.378322456535892471e+00,4.333333333333333037e+00,6.236095644623234069e-01,1.347222222222222143e+01,3.104531733442356778e+00,8.194444444444444642e+00,2.378368306732399073e+00,4.440001315098268120e-01,4.452933116541791803e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.779264306354951364e-01,6.627659074769623460e-02,4.716200104023432971e+01,3.909592129129990923e+01,2.496400035353241265e+02,1.310037831978874294e+02,7.130277777777778283e+02,1.235155196863740912e+03,4.627777777658729441e+00,8.035001339882679616e+00,7.245581132251831535e-01,1.194919139292035387e-01
8.202494364826622419e-01,5.642502050911569339e-02,3.365794759609417874e-01,5.970574680004307050e-02,1.192375555555556019e+02,1.917622296323763820e+01,1.246799999999999642e+01,1.913977707985823562e+00,1.379885555555555641e+02,2.122654879370073644e+01,8.908677777777774054e+01,1.275102996517690990e+01,7.749958283835993722e-01,1.061952594970117653e-01,9.033389960933659868e-01,4.067695503786565581e-02,8.248088400552214816e-01,1.138005369800471622e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.757222222222222285e+02,2.677645224935014312e+01,2.033333333333333215e+01,4.714045207910318447e-01,6.891111111111110858e+02,3.935718046711409812e+01,4.491666666666666856e+02,2.581074281078412724e+01,2.950000000000000000e+01,1.145158892420125696e+01,4.277777777777777679e+00,6.502611061510900070e-01,1.355555555555555536e+01,4.524282904778295311e+00,8.083333333333333925e+00,2.812422838447698581e+00,5.253149454470036339e-01,4.452002664019654721e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.795740341147978425e-01,7.084939364847460397e-02,4.890473258499399378e+01,4.591981947093076144e+01,2.985447361217069897e+02,1.689671382336171632e+02,8.108611111111110858e+02,1.404650789990517978e+03,4.728472222222222854e+00,8.211165232258490931e+00,7.545013138743346115e-01,1.223446541908190521e-01
8.464574778131159771e-01,5.147809141943349848e-02,3.532074785977298848e-01,6.929517596277487423e-02,1.200534444444444375e+02,1.978008849329216901e+01,1.275344444444444392e+01,2.120283713254280222e+00,1.403990555555555488e+02,2.397704395405512301e+01,9.050322222222219182e+01,1.458413994171429451e+01,8.228869828115156215e-01,8.977289942498102582e-02,8.959147348999214611e-01,6.030259158843890438e-02,8.216304967686860472e-01,1.091583777737951816e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.551388888888889142e+02,3.899084848310047846e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.566388888888889142e+02,6.330620154709164638e+01,4.262222222222222285e+02,4.173002590136261603e+01,3.113888888888888928e+01,1.457767085834774612e+01,4.555555555555555358e+00,1.212079123848412765e+00,1.769444444444444287e+01,1.460368949661625848e+01,1.083333333333333393e+01,9.685326817178420811e+00,7.120538067042573305e-01,3.524400454943512062e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.790691991518095882e-01,8.132553103747289236e-02,4.826683045759294544e+01,3.049814870810249445e+01,3.468115665792999494e+02,1.869471618013149907e+02,9.073333333333333712e+02,1.571771240776892228e+03,4.837037037067901224e+00,8.398701643791559590e+00,8.138296525726842479e-01,1.001853469440495970e-01
8.494947406488737585e-01,5.338855389872780577e-02,3.703834608640491632e-01,7.133571750803673062e-02,1.195193333333333356e+02,1.996515763357087536e+01,1.291588888888889208e+01,2.284120786086431654e+00,1.396717777777777485e+02,2.507029815351571145e+01,8.992361111111112848e+01,1.526514958851948300e+01,8.400564427312373628e-01,8.514227944979424478e-02,9.135662737231073915e-01,4.396648844596072470e-02,8.568818653923817585e-01,9.464201732430550795e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.628333333333333144e+02,4.000104165310364834e+01,2.038888888888888928e+01,4.874980215217846191e-01,6.659444444444444571e+02,5.643430026954865752e+01,4.336666666666666856e+02,3.786892598893657436e+01,3.155555555555555713e+01,1.169863345401325283e+01,4.222222222222222321e+00,6.712803318663651542e-01,1.383333333333333393e+01,6.207074816512022863e+00,8.166666666666666075e+00,3.919325338768280709e+00,7.454966959775808366e-01,3.363949414009445582e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.019911229506460959e-01,5.172601070878167506e-02,5.453847407637720579e+01,4.562525620278715621e+01,4.013500406531771318e+02,2.109327309300904574e+02,1.002888888888888914e+03,1.737312048631732978e+03,4.942222222222222960e+00,8.581060252773450969e+00,8.309806678617106535e-01,9.486825583746118229e-02
